key,value
.access_list[],string
.access_mask,integer
.action,string
.action_id,integer
.activity_id,integer
.activity_name,string
.actor.app_name,string
.actor.app_uid,string
.actor.authorizations[].decision,string
.actor.authorizations[].policy.desc,string
.actor.authorizations[].policy.group.desc,string
.actor.authorizations[].policy.group.domain,string
.actor.authorizations[].policy.group.name,string
.actor.authorizations[].policy.group.privileges[],string
.actor.authorizations[].policy.group.type,string
.actor.authorizations[].policy.group.uid,string
.actor.authorizations[].policy.is_applied,boolean
.actor.authorizations[].policy.name,string
.actor.authorizations[].policy.uid,string
.actor.authorizations[].policy.version,string
.actor.idp.name,string
.actor.idp.uid,string
.actor.invoked_by,string
.actor.process.auid,integer
.actor.process.cmd_line,string
.actor.process.container.hash.algorithm,string
.actor.process.container.hash.algorithm_id,integer
.actor.process.container.hash.value,string
.actor.process.container.image.labels[],string
.actor.process.container.image.name,string
.actor.process.container.image.path,string
.actor.process.container.image.tag,string
.actor.process.container.image.uid,string
.actor.process.container.name,string
.actor.process.container.network_driver,string
.actor.process.container.orchestrator,string
.actor.process.container.pod_uuid,string
.actor.process.container.runtime,string
.actor.process.container.size,integer
.actor.process.container.tag,string
.actor.process.container.uid,string
.actor.process.created_time,integer
.actor.process.created_time_dt,string
.actor.process.egid,integer
.actor.process.euid,integer
.actor.process.file.accessed_time,integer
.actor.process.file.accessed_time_dt,string
.actor.process.file.accessor.account.labels[],string
.actor.process.file.accessor.account.name,string
.actor.process.file.accessor.account.type,string
.actor.process.file.accessor.account.type_id,integer
.actor.process.file.accessor.account.uid,string
.actor.process.file.accessor.credential_uid,string
.actor.process.file.accessor.domain,string
.actor.process.file.accessor.email_addr,string
.actor.process.file.accessor.full_name,string
.actor.process.file.accessor.groups[].desc,string
.actor.process.file.accessor.groups[].domain,string
.actor.process.file.accessor.groups[].name,string
.actor.process.file.accessor.groups[].privileges[],string
.actor.process.file.accessor.groups[].type,string
.actor.process.file.accessor.groups[].uid,string
.actor.process.file.accessor.ldap_person.cost_center,string
.actor.process.file.accessor.ldap_person.created_time,integer
.actor.process.file.accessor.ldap_person.created_time_dt,string
.actor.process.file.accessor.ldap_person.deleted_time,integer
.actor.process.file.accessor.ldap_person.deleted_time_dt,string
.actor.process.file.accessor.ldap_person.email_addrs[],string
.actor.process.file.accessor.ldap_person.employee_uid,string
.actor.process.file.accessor.ldap_person.given_name,string
.actor.process.file.accessor.ldap_person.hire_time,integer
.actor.process.file.accessor.ldap_person.hire_time_dt,string
.actor.process.file.accessor.ldap_person.job_title,string
.actor.process.file.accessor.ldap_person.labels[],string
.actor.process.file.accessor.ldap_person.last_login_time,integer
.actor.process.file.accessor.ldap_person.last_login_time_dt,string
.actor.process.file.accessor.ldap_person.ldap_cn,string
.actor.process.file.accessor.ldap_person.ldap_dn,string
.actor.process.file.accessor.ldap_person.leave_time,integer
.actor.process.file.accessor.ldap_person.leave_time_dt,string
.actor.process.file.accessor.ldap_person.location.city,string
.actor.process.file.accessor.ldap_person.location.continent,string
.actor.process.file.accessor.ldap_person.location.coordinates[],number
.actor.process.file.accessor.ldap_person.location.country,string
.actor.process.file.accessor.ldap_person.location.desc,string
.actor.process.file.accessor.ldap_person.location.geohash,string
.actor.process.file.accessor.ldap_person.location.is_on_premises,boolean
.actor.process.file.accessor.ldap_person.location.isp,string
.actor.process.file.accessor.ldap_person.location.lat,number
.actor.process.file.accessor.ldap_person.location.long,number
.actor.process.file.accessor.ldap_person.location.postal_code,string
.actor.process.file.accessor.ldap_person.location.provider,string
.actor.process.file.accessor.ldap_person.location.region,string
.actor.process.file.accessor.ldap_person.manager,null
.actor.process.file.accessor.ldap_person.modified_time,integer
.actor.process.file.accessor.ldap_person.modified_time_dt,string
.actor.process.file.accessor.ldap_person.office_location,string
.actor.process.file.accessor.ldap_person.surname,string
.actor.process.file.accessor.name,string
.actor.process.file.accessor.org.name,string
.actor.process.file.accessor.org.ou_name,string
.actor.process.file.accessor.org.ou_uid,string
.actor.process.file.accessor.org.uid,string
.actor.process.file.accessor.risk_level,string
.actor.process.file.accessor.risk_level_id,integer
.actor.process.file.accessor.risk_score,integer
.actor.process.file.accessor.type,string
.actor.process.file.accessor.type_id,integer
.actor.process.file.accessor.uid,string
.actor.process.file.accessor.uid_alt,string
.actor.process.file.attributes,integer
.actor.process.file.company_name,string
.actor.process.file.confidentiality,string
.actor.process.file.confidentiality_id,integer
.actor.process.file.created_time,integer
